WARN  [2013-11-26 17:55:42,815] [main] (DataSources.java:29)     - Created a DataSource to: jdbc:h2:file:MyFile
ERROR [2013-11-26 18:01:56,210] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:01:56,211] [VSensorLoader-Thread0] (VSensorLoader.java:403)     - The wrapper >usb-cam< is not defined in the >conf/wrappers.properties< file.
ERROR [2013-11-26 18:01:56,211] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:01:59,212] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:01:59,264] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:01:59,265] [VSensorLoader-Thread0] (VSensorLoader.java:403)     - The wrapper >usb-cam< is not defined in the >conf/wrappers.properties< file.
ERROR [2013-11-26 18:01:59,265] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:02:02,269] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:02,325] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:02,328] [VSensorLoader-Thread0] (VSensorLoader.java:403)     - The wrapper >usb-cam< is not defined in the >conf/wrappers.properties< file.
ERROR [2013-11-26 18:02:02,328] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:02:05,331] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:05,358] [VSensorLoader-Thread0] (    Main.java:324)     - The requested wrapper: usb-cam doesn't exist in the wrappers.properties file.
ERROR [2013-11-26 18:02:05,358] [VSensorLoader-Thread0] (VSensorLoader.java:403)     - The wrapper >usb-cam< is not defined in the >conf/wrappers.properties< file.
ERROR [2013-11-26 18:02:05,358] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
